name,platform,genre,publisher,developer,rating,year_of_release,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
F1 Pole Position 64,N64,Racing,Ubisoft,unknown,E,1997.0,0.11,0.13,0.0,0.01,0.25,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Motocross Mania 3,PS2,Racing,Take-Two Interactive,Deibus Studios,T,2004.0,0.05,0.04,0.0,0.01,0.1,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Backyard Soccer,PS,Sports,Infogrames,Humongous Entertainment,E,2001.0,0.07,0.05,0.0,0.01,0.13,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Battle Soccer: Field no Hasha,SNES,Sports,Banpresto,unknown,E,1992.0,0.0,0.0,0.16,0.0,0.16,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Corpse Party: Blood Covered - Repeated Fear,3DS,Adventure,5pb,unknown,E,2015.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Iridium Runners,PS2,Racing,SouthPeak Games,Playstos Entertainment,E,2008.0,0.01,0.01,0.0,0.0,0.02,57.0,12.0,7.126899879372738,163.0088459991958
Deadliest Catch: Sea of Chaos,Wii,Sports,Crave Entertainment,Crave,E10+,2010.0,0.11,0.0,0.0,0.01,0.12,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dynasty Warriors 8: Xtreme Legends,PS4,Action,Tecmo Koei,unknown,E,2014.0,0.09,0.11,0.06,0.04,0.3,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
PGA Tour 97,PS,Sports,Electronic Arts,unknown,E,1996.0,0.16,0.11,0.0,0.02,0.29,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Little King's Story,Wii,Strategy,Rising Star Games,Cing,T,2009.0,0.14,0.1,0.02,0.02,0.29,87.0,50.0,8.8,86.0
Cabela's Adventure Camp,X360,Misc,Activision,Activision,E,2011.0,0.07,0.02,0.0,0.01,0.1,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Darksiders,PS3,Action,THQ,Vigil Games,M,2010.0,0.01,0.0,0.0,0.0,0.02,82.0,73.0,7.9,319.0
MotorStorm RC,PSV,Racing,Sony Computer Entertainment,Evolution Studios,E,2012.0,0.0,0.04,0.0,0.01,0.06,78.0,39.0,6.8,123.0
EA Sports UFC 2,PS4,Sports,Electronic Arts,EA Sports,T,2016.0,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0
EverQuest II: Destiny of Velious,PC,Role-Playing,Sony Online Entertainment,Sony Online Entertainment,T,2011.0,0.06,0.0,0.0,0.0,0.06,68.9971185166625,26.440992232523175,7.4,5.0
Petz Wild Animals: Dolphinz,DS,Simulation,Ubisoft,Magic Pockets,E,2007.0,0.71,0.48,0.0,0.13,1.32,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Real Pool,PS2,Sports,Midas Interactive Entertainment,Takara,E,2000.0,0.14,0.11,0.0,0.04,0.28,54.0,15.0,7.126899879372738,163.0088459991958
Jacqueline Wilson's Tracy Beaker: The Game,DS,Misc,P2 Games,unknown,E,2009.0,0.0,0.05,0.0,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Paws & Claws: Pet Vet 2,DS,Simulation,THQ,unknown,E,2007.0,0.13,0.0,0.0,0.01,0.14,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
IHRA Professional Drag Racing 2005,XB,Racing,Bethesda Softworks,Bethesda Softworks,E,2004.0,0.04,0.01,0.0,0.0,0.06,36.0,5.0,7.126899879372738,163.0088459991958
Warriors Orochi 2,PS2,Action,Tecmo Koei,Omega Force,T,2008.0,0.06,0.05,0.0,0.02,0.13,52.0,9.0,8.5,13.0
Tenchu: Shadow Assassins,PSP,Action,Ubisoft,From Software,M,2009.0,0.03,0.02,0.05,0.01,0.11,68.0,18.0,7.4,18.0
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,unknown,E,1999.0,1.72,1.33,0.0,0.16,3.21,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Margot's Word Brain,Wii,Puzzle,Zoo Digital Publishing,Slam Games,E10+,2008.0,0.12,0.0,0.0,0.01,0.13,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pure,PS3,Racing,Disney Interactive Studios,Black Rock Studio,E,2008.0,0.42,0.33,0.0,0.14,0.89,83.0,43.0,7.8,30.0
F1 2016 (Codemasters),PC,Racing,Codemasters,unknown,E,2016.0,0.0,0.03,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,Naughty Dog,T,2016.0,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,Platform,THQ,Blitz Games,E,2006.0,0.44,0.02,0.0,0.04,0.49,57.0,16.0,5.6,7.0
Shrek the Third,PSP,Action,Activision,Amaze Entertainment,E10+,2007.0,0.08,0.15,0.0,0.09,0.31,57.0,8.0,7.126899879372738,163.0088459991958
Puzzle City,DS,Puzzle,Destineer,Destineer,E,2009.0,0.02,0.0,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
FlatOut 2,PS2,Racing,Empire Interactive,Bugbear,T,2006.0,0.08,0.06,0.0,0.02,0.16,73.0,44.0,7.5,27.0
NASCAR Thunder 2002,PS2,Racing,Electronic Arts,EA Sports,E,2001.0,0.57,0.44,0.0,0.15,1.16,85.0,17.0,8.5,22.0
The Da Vinci Code,PS2,Action,Take-Two Interactive,Double Helix Games,T,2006.0,0.07,0.05,0.0,0.02,0.14,54.0,43.0,8.0,24.0
7 Roses: A Darkness Rises,PC,Misc,Avanquest Software,unknown,E,2015.0,0.0,0.02,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
NFL Blitz 20-03,GC,Sports,Midway Games,Point of View,E,2002.0,0.11,0.03,0.0,0.0,0.14,72.0,11.0,7.126899879372738,163.0088459991958
Red Ninja: End of Honor,XB,Action,Vivendi Games,Tranji,M,2005.0,0.01,0.0,0.0,0.0,0.02,46.0,25.0,4.0,5.0
Kao Challengers,PSP,Platform,Atari,"Atari, Atari SA",E,2005.0,0.02,0.0,0.0,0.0,0.02,57.0,6.0,7.126899879372738,163.0088459991958
Batman: Arkham Origins,X360,Action,Warner Bros. Interactive Entertainment,WB Games Montreal,T,2013.0,1.15,0.56,0.0,0.17,1.88,74.0,46.0,7.5,685.0
Up,Wii,Action,THQ,Asobo Studio,E10+,2009.0,0.22,0.28,0.0,0.06,0.56,62.0,6.0,8.0,4.0
Tom and Jerry: Infurnal Escape,GBA,Action,Ubisoft,unknown,E,2003.0,0.12,0.04,0.0,0.0,0.16,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Raven Squad: Operation Hidden Dagger,X360,Shooter,Evolved Games,Atomic Motion,T,2009.0,0.08,0.01,0.0,0.01,0.09,38.0,22.0,3.5,37.0
NCAA Final Four 2001,PS2,Sports,Sony Computer Entertainment,989 Sports,E,2000.0,0.09,0.07,0.0,0.02,0.19,49.0,10.0,7.126899879372738,163.0088459991958
"Warhammer 40,000: Space Marine",PC,Shooter,THQ,Relic,M,2011.0,0.09,0.09,0.0,0.03,0.2,74.0,34.0,7.4,596.0
APB Reloaded,PC,Role-Playing,Iceberg Interactive,"Reloaded Productions, Reloaded Games Inc.",M,2011.0,0.02,0.01,0.0,0.0,0.04,56.0,12.0,5.7,269.0
NASCAR 99,N64,Racing,Electronic Arts,unknown,E,1998.0,0.94,0.04,0.0,0.01,0.98,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
UFC Personal Trainer: The Ultimate Fitness System,Wii,Sports,THQ,THQ,E,2011.0,0.11,0.06,0.0,0.02,0.18,54.0,5.0,7.126899879372738,163.0088459991958
S.Y.K Renshouden,PS2,Adventure,Idea Factory,unknown,E,2010.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Skylanders Imaginators,WiiU,Platform,Activision,Toys for Bob,E10+,2016.0,0.09,0.08,0.0,0.02,0.18,76.0,4.0,7.126899879372738,163.0088459991958
Persona 4: Arena,X360,Fighting,Atlus,Arc System Works,T,2012.0,0.08,0.01,0.03,0.01,0.13,83.0,21.0,7.3,60.0
Ookami Kakushi,PSP,Action,Konami Digital Entertainment,unknown,E,2009.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
DS Uranai Seikatsu,DS,Misc,Nintendo,unknown,E,2009.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Petz: Horse Club,Wii,Misc,Ubisoft,Phoenix Interactive Entertainment,E,2008.0,0.2,0.0,0.0,0.02,0.21,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
From Russia With Love,PS2,Action,Electronic Arts,EA Redwood Shores,T,2005.0,0.34,0.01,0.0,0.06,0.41,69.0,29.0,7.6,36.0
NHL 08,X360,Action,Electronic Arts,EA Canada,E10+,2007.0,0.22,0.01,0.0,0.02,0.25,85.0,44.0,8.2,44.0
Teenage Mutant Ninja Turtles: Smash-Up,Wii,Fighting,Ubisoft,Game Arts,E10+,2009.0,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0
Need For Speed: Undercover,PSP,Racing,Electronic Arts,Piranha Games,T,2008.0,0.23,0.31,0.03,0.19,0.76,52.0,7.0,6.8,37.0
Elemental Gearbolt,PS,Shooter,Sony Computer Entertainment,Alfa System,T,1997.0,0.03,0.02,0.0,0.0,0.06,76.0,11.0,7.126899879372738,163.0088459991958
Pro Yaky? Spirits 4,PS3,Sports,Konami Digital Entertainment,unknown,E,2007.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Wolf Among Us,PS3,Adventure,Telltale Games,unknown,E,2014.0,0.05,0.02,0.0,0.02,0.09,68.9971185166625,26.440992232523175,8.2,48.0
Brave: A Warrior's Tale,Wii,Action,SouthPeak Games,Collision Studios,E10+,2009.0,0.05,0.0,0.0,0.0,0.06,48.0,13.0,7.126899879372738,163.0088459991958
Warriors Orochi 3,PSV,Action,Tecmo Koei,unknown,E,2013.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Need for Speed: Most Wanted,GBA,Racing,Electronic Arts,EA Canada,E,2005.0,0.19,0.07,0.0,0.0,0.26,68.9971185166625,26.440992232523175,8.3,14.0
Winning Post 8 ,PS3,Racing,Tecmo Koei,unknown,E,2014.0,0.0,0.0,0.05,0.0,0.05,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Killzone,PS2,Shooter,Sony Computer Entertainment,Guerrilla,M,2004.0,0.79,0.03,0.0,0.13,0.94,70.0,67.0,7.4,254.0
Karaoke Revolution Party,XB,Misc,Konami Digital Entertainment,Harmonix Music Systems,E10+,2005.0,0.05,0.01,0.0,0.0,0.07,80.0,24.0,7.126899879372738,163.0088459991958
Trade & Battle: Card Hero,GB,Strategy,Nintendo,unknown,E,2000.0,0.0,0.0,0.2,0.0,0.2,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Hankou Shashin,SAT,Adventure,Imagineer,unknown,E,1996.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Shadows of the Damned,X360,Action,Electronic Arts,Grasshopper Manufacture,M,2011.0,0.1,0.06,0.01,0.02,0.19,76.0,76.0,8.4,139.0
Romance of the Three Kingdoms IV: Wall of Fire,SNES,Strategy,Tecmo Koei,unknown,E,1994.0,0.0,0.0,0.53,0.0,0.53,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Exhibition Volume 02,XB,Misc,Microsoft Game Studios,unknown,E,2003.0,0.13,0.04,0.0,0.01,0.17,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Fritz Chess,DS,Strategy,Deep Silver,Deep Silver,E,2009.0,0.02,0.0,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Warhammer: Dark Omen,PS,Strategy,Electronic Arts,unknown,E,1998.0,0.02,0.01,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Viva Pinata: Pocket Paradise,DS,Simulation,THQ,Rare Ltd.,E,2008.0,0.26,0.23,0.0,0.06,0.55,82.0,34.0,7.1,15.0
Trials Fusion,PS4,Racing,Ubisoft,RedLynx,E10+,2014.0,0.13,0.22,0.01,0.07,0.42,79.0,51.0,7.2,244.0
Little Battlers eXperience: Baku Boost,3DS,Action,Nintendo,unknown,E,2012.0,0.0,0.0,0.21,0.0,0.21,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Candace Kane's Candy Factory,Wii,Action,Destineer,Destineer,E,2008.0,0.14,0.0,0.0,0.01,0.15,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Crysis 2,X360,Action,Electronic Arts,Crytek,M,2011.0,0.71,0.49,0.02,0.12,1.34,84.0,72.0,7.5,533.0
F-Zero,SNES,Racing,Nintendo,unknown,E,1990.0,1.37,0.51,0.89,0.07,2.85,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Tekken Tag Tournament 2,X360,Fighting,Namco Bandai Games,Namco Bandai Games,T,2012.0,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0
7 Wonders II,DS,Puzzle,Rondomedia,MumboJumbo,E,2009.0,0.13,0.15,0.0,0.03,0.31,60.0,5.0,7.126899879372738,163.0088459991958
Fight Night Round 3,XB,Fighting,Electronic Arts,EA Chicago,T,2006.0,0.26,0.06,0.0,0.01,0.33,83.0,32.0,9.0,21.0
Pirates of the Caribbean,XB,Role-Playing,Ubisoft,Akella,T,2003.0,0.22,0.06,0.0,0.01,0.29,65.0,30.0,7.4,27.0
Disney's Planes,Wii,Simulation,Disney Interactive Studios,Behaviour Interactive,E,2013.0,0.07,0.06,0.0,0.01,0.14,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Rock Band 3,X360,Misc,MTV Games,Harmonix Music Systems,T,2010.0,0.73,0.09,0.0,0.06,0.88,93.0,57.0,8.2,137.0
Utawarerumono: Itsuwari no Kamen,PSV,Adventure,Aqua Plus,unknown,E,2015.0,0.0,0.0,0.07,0.0,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Child of Eden,X360,Shooter,Ubisoft,Q Entertainment,E10+,2011.0,0.28,0.12,0.0,0.04,0.44,84.0,81.0,7.7,95.0
RPG Tsukuru DS,DS,Role-Playing,Enterbrain,unknown,E,2010.0,0.0,0.0,0.05,0.0,0.05,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Frequency,PS2,Misc,Sony Computer Entertainment,Harmonix Music Systems,E,2001.0,0.09,0.07,0.0,0.02,0.19,83.0,26.0,9.0,29.0
FIFA Soccer 2003,GBA,Sports,Electronic Arts,Exient Entertainment,E,2002.0,0.04,0.01,0.0,0.0,0.05,76.0,4.0,7.126899879372738,163.0088459991958
NTRA Breeders' Cup World Thoroughbred Championships,XB,Simulation,Bethesda Softworks,unknown,E,2005.0,0.04,0.01,0.0,0.0,0.06,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
All-Star Baseball 2003,GC,Sports,Acclaim Entertainment,Acclaim,E,2002.0,0.12,0.03,0.0,0.0,0.15,83.0,16.0,8.0,6.0
pro evolution soccer 2011,PS3,Sports,Konami Digital Entertainment,Konami,E,2010.0,0.29,1.17,0.54,0.41,2.41,77.0,40.0,6.8,85.0
SpongeBob's Truth or Square,PSP,Action,THQ,Heavy Iron Studios,E,2009.0,0.02,0.04,0.0,0.01,0.07,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Atlantis,2600,Shooter,Imagic,unknown,E,1981.0,1.18,0.08,0.0,0.01,1.27,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
BIT.TRIP SAGA,3DS,Misc,Rising Star Games,Gaijin Games,E,2011.0,0.09,0.04,0.0,0.01,0.14,75.0,21.0,7.8,24.0
Dishonored,PS3,Action,Bethesda Softworks,Arkane Studios,M,2012.0,0.72,0.52,0.04,0.25,1.53,89.0,35.0,7.9,781.0
Crimson Gem Saga,PSP,Role-Playing,Sega,"IronNos Co.,Ltd.",T,2008.0,0.06,0.0,0.0,0.0,0.06,78.0,20.0,7.5,30.0
Fuel,PC,Racing,Codemasters,Asobo Studio,E,2009.0,0.0,0.02,0.0,0.0,0.02,67.0,16.0,6.7,86.0
Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,Konami,E,2010.0,0.12,0.02,0.0,0.01,0.14,50.0,32.0,7.126899879372738,163.0088459991958
Kakyuusei,SAT,Strategy,Elf,unknown,E,1997.0,0.0,0.0,0.28,0.0,0.28,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Jikkyou Powerful Pro Yakyuu 14,PS2,Sports,Konami Digital Entertainment,unknown,E,2007.0,0.0,0.0,0.31,0.0,0.31,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
MechAssault: Phantom War,DS,Simulation,Majesco Entertainment,Backbone Entertainment,T,2006.0,0.03,0.0,0.0,0.0,0.03,66.0,16.0,4.5,4.0
Skylanders SWAP Force,X360,Platform,Activision,Vicarious Visions,E10+,2013.0,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0
Spider-Man 2: Enter: Electro,PS,Action,Activision,Vicarious Visions,E,2001.0,0.57,0.87,0.02,0.09,1.55,74.0,15.0,8.7,35.0
Contender 2,PS,Fighting,3DO,Bam Entertainment,T,2000.0,0.31,0.21,0.0,0.04,0.55,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Rally Challenge 2000,N64,Racing,Imagineer,unknown,E,1999.0,0.03,0.01,0.0,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Ball Z: Tenkaichi Tag Team,PSP,Fighting,Namco Bandai Games,Spike,T,2010.0,0.11,0.03,0.09,0.03,0.26,63.0,22.0,8.6,20.0
Rocky,XB,Fighting,Rage Software,Rage Software,T,2002.0,0.11,0.03,0.0,0.01,0.15,74.0,22.0,7.3,6.0
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,Adventure,Marvelous Interactive,unknown,E,2006.0,0.0,0.0,0.04,0.0,0.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Crash Tag Team Racing,PSP,Racing,Vivendi Games,Radical Entertainment,E10+,2005.0,0.16,0.05,0.0,0.03,0.24,68.0,9.0,7.1,25.0
Command & Conquer: Red Alert,PC,Strategy,Virgin Interactive,unknown,E,1996.0,1.37,1.34,0.0,0.14,2.85,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Bomberman Land,PSP,Misc,Hudson Entertainment,Racjin,E,2007.0,0.06,0.0,0.0,0.0,0.06,55.0,14.0,7.8,4.0
Spanish for Everyone!,DS,Puzzle,Activision,unknown,E,2007.0,0.02,0.0,0.0,0.0,0.02,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
SimCity 2000,GBA,Simulation,Zoo Digital Publishing,Full-Fat,E,2003.0,0.08,0.03,0.0,0.0,0.11,62.0,9.0,7.8,11.0
Story Hour: Adventures,Wii,Adventure,Zoo Digital Publishing,Other Ocean Interactive,E,2008.0,0.03,0.0,0.0,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Hot Shots Golf: Out of Bounds,PS3,Sports,Sony Computer Entertainment,Clap Hanz,E,2007.0,0.31,0.03,0.76,0.04,1.14,81.0,66.0,8.8,32.0
Warcraft II: Tides of Darkness,PC,Strategy,Activision,unknown,E,1995.0,1.7,2.27,0.0,0.23,4.21,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pac-Man World Rally,PSP,Racing,Namco Bandai Games,Smart Bomb Interactive,E,2006.0,0.04,0.0,0.0,0.0,0.04,51.0,9.0,7.126899879372738,163.0088459991958
Uru: Ages Beyond Myst,PC,Adventure,Ubisoft,Cyan Worlds,E,2003.0,0.0,0.02,0.0,0.0,0.02,79.0,22.0,7.6,29.0
Top Gun: Fire at Will!,PS,Misc,Microprose,unknown,E,1996.0,0.3,0.21,0.0,0.04,0.55,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Quest VIII: Journey of the Cursed King,3DS,Role-Playing,Square Enix,Cygames,T,2015.0,0.0,0.0,0.86,0.0,0.86,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,Misc,Namco Bandai Games,unknown,E,1997.0,0.0,0.0,0.22,0.0,0.22,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Anno 1701: Dawn of Discovery,DS,Simulation,Touchstone,Sunflowers Interactive,E,2007.0,0.07,0.05,0.0,0.01,0.13,78.0,14.0,7.5,19.0
Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,Adventure,Alchemist,unknown,E,2010.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Cars: Mater-National Championship,PS3,Racing,THQ,Rainbow Studios,E,2007.0,0.37,0.01,0.0,0.03,0.41,63.0,8.0,4.8,4.0
Tiger Woods PGA Tour 2004,GC,Sports,Electronic Arts,EA Sports,E,2003.0,0.12,0.03,0.0,0.0,0.16,89.0,16.0,7.8,6.0
Star Wars: Rogue Squadron,N64,Simulation,Nintendo,unknown,E,1998.0,1.6,0.46,0.08,0.03,2.17,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
God Eater Resurrection,PSV,Action,Namco Bandai Games,"Shift, Bandai Namco Games",T,2015.0,0.0,0.0,0.19,0.0,0.19,68.9971185166625,26.440992232523175,8.8,17.0
Metal Gear Solid 3: Subsistence,PS2,Action,Konami Digital Entertainment,Aspect,M,2005.0,0.34,0.01,0.15,0.06,0.55,94.0,53.0,9.3,439.0
The Granstream Saga,PS,Role-Playing,Sony Computer Entertainment,unknown,E,1997.0,0.08,0.05,0.0,0.01,0.14,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
B-Boy,PSP,Misc,Sony Computer Entertainment,FreeStyleGames,T,2006.0,0.04,0.0,0.0,0.0,0.05,50.0,11.0,7.8,6.0
Mugen Souls,PS3,Role-Playing,Nippon Ichi Software,"Compile Heart, GCREST",T,2012.0,0.04,0.02,0.08,0.01,0.15,55.0,24.0,7.3,35.0
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,Ubisoft Montpellier,T,2005.0,0.2,0.03,0.0,0.02,0.26,80.0,57.0,7.5,79.0
Skylanders SWAP Force,XOne,Platform,Activision,Vicarious Visions,E10+,2013.0,0.22,0.06,0.0,0.03,0.32,68.9971185166625,26.440992232523175,5.5,43.0
Alvin and the Chipmunks: Chipwrecked,Wii,Misc,505 Games,Behaviour Interactive,E10+,2011.0,0.07,0.01,0.0,0.01,0.09,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
SD Gundam: Scad Hammers,Wii,Strategy,Namco Bandai Games,unknown,E,2006.0,0.0,0.0,0.05,0.0,0.05,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,Misc,Idea Factory,unknown,E,2011.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,Role-Playing,Namco Bandai Games,unknown,E,2007.0,0.0,0.0,0.15,0.0,0.15,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Pro Yakyuu Family Stadium,Wii,Sports,Namco Bandai Games,unknown,E,2008.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,Sports,Sega,unknown,E,1998.0,0.0,0.0,0.12,0.0,0.12,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Lightning Returns: Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,T,2013.0,0.31,0.2,0.45,0.11,1.07,66.0,62.0,5.9,552.0
Kotoba no Puzzle: Mojipittan Daijiten,PSP,Puzzle,Namco Bandai Games,unknown,E,2004.0,0.0,0.0,0.11,0.0,0.11,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Ghostbusters: The Video Game (DS Version),X360,Action,Take-Two Interactive,unknown,E,2009.0,1.04,1.22,0.03,0.27,2.56,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Blue's Clues: Blue's Big Musical,PS,Misc,THQ,unknown,E,2001.0,0.28,0.19,0.0,0.03,0.5,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,Simulation,ASCII Entertainment,unknown,E,2001.0,0.0,0.0,0.32,0.0,0.32,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The Lord of the Rings: The Fellowship of the Ring,PS2,Action,Black Label Games,Surreal Software,T,2002.0,0.59,0.46,0.0,0.15,1.2,59.0,19.0,5.1,20.0
The Secret World,PC,Role-Playing,Funcom,Funcom,M,2012.0,0.07,0.08,0.0,0.02,0.17,74.0,55.0,8.2,1326.0
Call of Duty 3,PS2,Shooter,Activision,Treyarch,T,2006.0,0.89,0.03,0.0,0.15,1.07,82.0,14.0,7.4,83.0
LEGO Batman: The Videogame,PC,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+,2008.0,0.02,0.03,0.0,0.01,0.06,80.0,15.0,7.8,61.0
Triple Play 2002,XB,Sports,Electronic Arts,Pandemic Studios,E,2002.0,0.19,0.05,0.0,0.01,0.25,64.0,17.0,7.126899879372738,163.0088459991958
MX Unleashed,XB,Racing,THQ,Rainbow Studios,E,2004.0,0.34,0.08,0.0,0.02,0.44,81.0,18.0,9.3,12.0
My Little Baby,DS,Simulation,CDV Software Entertainment,dtp Young Entertainment AG,E,2008.0,0.0,0.01,0.0,0.0,0.01,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,M,2010.0,2.85,0.38,0.03,0.24,3.49,89.0,81.0,8.3,693.0
Mega Man X4,PS,Action,Virgin Interactive,unknown,E,1996.0,0.45,0.3,0.22,0.07,1.04,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Action,Square Enix,unknown,E,2015.0,0.0,0.0,0.49,0.0,0.49,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
The IdolM@ster: Gravure For You! Vol. 6,PS3,Action,Namco Bandai Games,unknown,E,2012.0,0.0,0.0,0.03,0.0,0.03,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
SD Gundam G Generation: Overworld,PSP,Strategy,Namco Bandai Games,unknown,E,2012.0,0.0,0.0,0.31,0.0,0.31,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958
Tokyo Xtreme Racer Zero,PS2,Racing,Crave Entertainment,Genki,E,2000.0,0.66,0.52,0.15,0.17,1.5,76.0,15.0,8.9,64.0
